word,sen1,sen2,sen3,sen4,sen5,sen6,sen7,sen8,sen9
かっこ,かっこいい
良い,かっこいい
ボンネット,ボンネットが出っ張っている
出っ張る,ボンネットが出っ張っている
居る,ボンネットが出っ張っている
座席,座席数が多い,後部座席を倒せる
数,座席数が多い
多い,座席数が多い
家族,家族全員収容できる
全員,家族全員収容できる
収容,家族全員収容できる
出来る,家族全員収容できる
荷物,荷物をたくさん積める,荷物スペースが広い,荷物の積み下ろしが楽
積む,荷物をたくさん積める
六,六人以上乗れる
以上,六人以上乗れる
乗る,六人以上乗れる,高齢者が乗りやすい
走行,走行性能が高い
性能,走行性能が高い
高い,走行性能が高い,最低地上高が高い
悪路,悪路も運転しやすい
運転,悪路も運転しやすい
為る,悪路も運転しやすい
最低,最低地上高が高い
地上,最低地上高が高い
スペース,荷物スペースが広い
広い,荷物スペースが広い
後部,後部座席を倒せる
倒す,後部座席を倒せる
三,三列シート
列,三列シート
シート,三列シート
車高,車高が低い
低い,車高が低い
積み下ろし,荷物の積み下ろしが楽
楽,荷物の積み下ろしが楽
高齢,高齢者が乗りやすい
